user_id,market_position,lifetime_portfolio,prior_bet_count,portfolio_concentration,is_first_x,Is_percent,is_suspicious,target_trade_time,market_title
0xe6a9d57c1f08b829d064f64afe8f836ac745f139,6032.39,6032.39,1,100.0,True,True,True,2025-12-17T00:36:17+00:00,"Maduro out by January 31, 2026?"
0x4206d3b0a425955d4eb291186fe09c8013aabb16,7184.0,7415.127794,10,96.88,True,True,True,2025-12-21T18:00:39+00:00,"Maduro out by January 31, 2026?"
0xfa550bf959389991077aba0dee4901d97299c531,12251.1804,12251.1804,4,100.0,True,True,True,2025-12-18T00:53:42+00:00,"Maduro out by January 31, 2026?"
0x17a55b84d39e643e0a28a5f7a529d5254c7dc36f,7718.5648,97089.95815500001,149,7.95,False,False,False,2025-12-22T13:24:05+00:00,"Maduro out by January 31, 2026?"
0xfa550bf959389991077aba0dee4901d97299c531,6875.5213,28416.945685,18,24.2,False,False,False,2025-12-19T18:33:23+00:00,"Maduro out by January 31, 2026?"
0xf3d2440cee0c3b07992fdc4ed6bc06801a1fa162,5000.0,7999.999997999999,2,62.5,True,False,True,2025-12-13T00:00:56+00:00,"Maduro out by January 31, 2026?"
0xbc7f80823ffab4f93317f14ccf52924f82d7cf7c,4369.9907,51742.36153299999,267,8.45,False,False,False,2025-12-12T18:36:09+00:00,"Maduro out by January 31, 2026?"
0x31a56e9e690c621ed21de08cb559e9524cdb8ed9,32538.34,32538.34,2,100.0,True,True,True,2025-12-31T00:20:15+00:00,"Maduro out by January 31, 2026?"
0x6baf05d193692bb208d616709e27442c910a94c5,10000.0,10000.0,1,100.0,True,True,True,2026-01-03T03:42:01+00:00,"Maduro out by January 31, 2026?"
0xa72db1749e9ac2379d49a3c12708325ed17febd4,5782.66,5782.66,1,100.0,True,True,True,2026-01-02T21:44:21+00:00,"Maduro out by January 31, 2026?"
0x36c2b074b2eb2e3aac2dc7226dd18e7c72956127,8000.0,19020.0,5,42.06,True,False,True,2025-12-22T16:03:13+00:00,"Maduro out by January 31, 2026?"
0x845495d7ed85c81dd58840d52db15a1dcd4931e1,23085.2571,28532.258025999996,40,80.91,False,True,True,2026-01-03T04:03:15+00:00,"Maduro out by January 31, 2026?"
0x168b100d7a6620a2f49a455344c2c006eaf1714b,9897.67,45849.90408200001,11,21.59,False,False,False,2026-01-03T05:35:41+00:00,"Maduro out by January 31, 2026?"
