user_id,eoa_address,market_id,market_title,outcome,side,avg_odds,contracts,dollar_amount,win_status,first_trade,last_trade,num_trades
0x9f473c652ea260f067dab2965a89360a2e66500c,0x9f473c652ea260f067dab2965a89360a2e66500c,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.07,10.0,0.7,WIN,2025-09-27T14:05:31+00:00,2025-09-27T14:05:43+00:00,2
0x3a51281426122e64ef375f0956ef7c6cbaf34d73,0x3a51281426122e64ef375f0956ef7c6cbaf34d73,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.12,8.3333,1.0,WIN,2025-09-27T17:49:11+00:00,2025-09-27T17:49:11+00:00,1
0x6ac4acb6c6e0cd0d4fbdfe14804ebba443e553c9,0x6ac4acb6c6e0cd0d4fbdfe14804ebba443e553c9,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.11,70.0,7.7,WIN,2025-09-27T18:15:27+00:00,2025-09-27T20:20:07+00:00,2
0x9f473c652ea260f067dab2965a89360a2e66500c,0x9f473c652ea260f067dab2965a89360a2e66500c,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,SELL,0.11,10.65,1.1715,WIN,2025-09-27T20:20:07+00:00,2025-09-27T20:20:07+00:00,1
0x8e8d8163c34d90ce063c7438637a0e5c3ffa5a27,0x8e8d8163c34d90ce063c7438637a0e5c3ffa5a27,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.07,100.0,7.0,WIN,2025-09-28T05:47:35+00:00,2025-09-28T05:47:35+00:00,1
0x3a51281426122e64ef375f0956ef7c6cbaf34d73,0x3a51281426122e64ef375f0956ef7c6cbaf34d73,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,SELL,0.06,8.33,0.4998,WIN,2025-09-28T05:48:41+00:00,2025-09-28T05:48:41+00:00,1
0x338a64e9f6956bee1d2f39a3f581b749e3d62c3a,0x338a64e9f6956bee1d2f39a3f581b749e3d62c3a,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.08,430.0,34.4,WIN,2025-09-28T19:49:27+00:00,2025-09-28T19:49:27+00:00,1
0x7a9542a3becdc68fd2792621e1c61d5a8f441e25,0x7a9542a3becdc68fd2792621e1c61d5a8f441e25,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.08,62.5,5.0,WIN,2025-10-05T21:21:05+00:00,2025-10-05T21:21:05+00:00,1
0xaf353d5c352e0e338cad96345d8fab34dce19a45,0xaf353d5c352e0e338cad96345d8fab34dce19a45,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.04,50.0,2.0,WIN,2025-10-07T04:07:50+00:00,2025-10-07T04:07:50+00:00,1
0xa20e75e1e98b2f3364e6dbd33b5998d3da41d244,0xa20e75e1e98b2f3364e6dbd33b5998d3da41d244,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,No,BUY,0.989,10.0,9.89,LOSS,2025-10-07T17:19:16+00:00,2025-10-07T17:19:16+00:00,1
0xc6af04659c6557526a0e2fd66259ffd8fe246010,0xc6af04659c6557526a0e2fd66259ffd8fe246010,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.0322,62.1136,2.0,WIN,2025-10-10T13:32:06+00:00,2025-10-10T13:32:06+00:00,1
0xe2a62150a3d1968347daca6c2077ddfad4651b6c,0xe2a62150a3d1968347daca6c2077ddfad4651b6c,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,Yes,BUY,0.015,350.0,5.2501,WIN,2025-10-27T15:49:09+00:00,2025-11-05T18:41:21+00:00,16
0xe9923c62478abccb590f61413ebb2c5e9e1e24c7,0xe9923c62478abccb590f61413ebb2c5e9e1e24c7,0x7054a1f29cbe11e526e47da0ebe9d84c4be6c8231279dde76229f8425a94a995,Will Michael B. Jordan win Best Actor at the 98th Academy Awards?,No,BUY,0.985,45.45,44.7683,LOSS,2025-10-30T11:28:41+00:00,2025-10-30T11:28:41+00:00,1
