user_id,market_position,lifetime_portfolio,prior_bet_count,portfolio_concentration,is_first_x,Is_percent,is_suspicious,target_trade_time,market_title
0x8e3d9de7faa80dfe444448de64a97e657a5112e7,6000.0,62473.022932999986,56,9.6,False,False,False,2025-11-04T21:22:31+00:00,Supreme Court rules in favor of Trump's tariffs?
0x8245e8e0e4b80fad892e8d0793d955fb9793c730,3504.61,3504.61,1,100.0,True,True,True,2025-10-20T10:55:19+00:00,Supreme Court rules in favor of Trump's tariffs?
0xd2ccb72e51fb2479f7553804707e6f19258f48a1,2997.3182,4595.43099,28,65.22,False,False,False,2025-09-09T20:39:48+00:00,Supreme Court rules in favor of Trump's tariffs?
0xaf8467682cff9cc76b0346b42fea43d76de5703c,8155.0264,132332.92345500021,271,6.16,False,False,False,2025-11-05T18:06:47+00:00,Supreme Court rules in favor of Trump's tariffs?
0xe6ed4c630dfa0380cf9add8a2c44fa34832007ea,7001.0002,211782.69164099995,372,3.31,False,False,False,2025-11-01T23:57:24+00:00,Supreme Court rules in favor of Trump's tariffs?
0xa27a9cdd124609afac62a45a7fea8713130c4cde,20170.28,20170.28,8,100.0,True,True,True,2025-11-05T21:42:45+00:00,Supreme Court rules in favor of Trump's tariffs?
0xaf8467682cff9cc76b0346b42fea43d76de5703c,7365.33,139699.0538550001,273,5.27,False,False,False,2025-11-05T22:52:25+00:00,Supreme Court rules in favor of Trump's tariffs?
0x2c49f506b59ee44a8385cd75b91a7ffe39667af9,8128.2263,78808.49906500008,603,10.31,False,False,False,2025-11-05T23:38:01+00:00,Supreme Court rules in favor of Trump's tariffs?
0xb1d1fc4a5dacc36e102e936e15303a6ee1791e37,3000.0,132672.41508600028,223,2.26,False,False,False,2025-11-05T23:44:09+00:00,Supreme Court rules in favor of Trump's tariffs?
0x2c49f506b59ee44a8385cd75b91a7ffe39667af9,8146.9333,80302.9574650001,606,10.15,False,False,False,2025-11-05T23:44:09+00:00,Supreme Court rules in favor of Trump's tariffs?
0x10b10665868bccdd922614c608d9b51e4354accf,7548.0569,7548.0569,1,100.0,True,True,True,2025-11-06T07:14:27+00:00,Supreme Court rules in favor of Trump's tariffs?
0x10b10665868bccdd922614c608d9b51e4354accf,7609.2921,7609.2921,2,100.0,True,True,True,2025-11-06T07:39:45+00:00,Supreme Court rules in favor of Trump's tariffs?
0xd706807a87696333af277be68d4c75e59ad3fac2,3000.0,97258.93804800017,263,3.08,False,False,False,2025-11-06T07:50:21+00:00,Supreme Court rules in favor of Trump's tariffs?
0x7fa9fbee349b9ac4c48fbc36ec947eff68e2846c,3500.0,173923.84262900002,34,2.01,False,False,False,2025-11-06T08:58:47+00:00,Supreme Court rules in favor of Trump's tariffs?
0x20275a9ab620f052e90a43dc4a7eee486cae6d60,5928.3261,264721.465686,1558,2.24,False,False,False,2025-09-16T06:45:30+00:00,Supreme Court rules in favor of Trump's tariffs?
0xbc58112dd2f7e3d558dd840e9197eaf523acf0bc,8892.4559,303173.76338500006,313,2.93,False,False,False,2025-11-06T21:42:13+00:00,Supreme Court rules in favor of Trump's tariffs?
0x1c72797cd4b9b83f42e287144e334c4de347dfb6,8217.7196,604585.2048319993,864,1.36,False,False,False,2025-10-28T10:58:55+00:00,Supreme Court rules in favor of Trump's tariffs?
0x9e7e57fbc4dd03dc7b0eea98f1f01bc100083e1d,10189.9113,694369.2417100001,1641,1.47,False,False,False,2025-11-02T04:19:12+00:00,Supreme Court rules in favor of Trump's tariffs?
0x5113b2664ff778bed9e64c15e20d4caae11fe446,49108.9671,939627.0587939998,724,5.23,False,False,False,2025-09-04T15:32:10+00:00,Supreme Court rules in favor of Trump's tariffs?
0x1c62cd70c36d94d6280b835a3ac414dd5a7a5d44,9601.4055,1121575.256182,1392,0.86,False,False,False,2025-09-19T10:35:52+00:00,Supreme Court rules in favor of Trump's tariffs?
0xbc58112dd2f7e3d558dd840e9197eaf523acf0bc,8887.9691,303294.730885,314,2.93,False,False,False,2025-11-06T23:11:57+00:00,Supreme Court rules in favor of Trump's tariffs?
0xa47b17e15c4960f361560554f20e73e9677ba496,3000.0,139596.726808,253,2.15,False,False,False,2025-11-07T10:39:33+00:00,Supreme Court rules in favor of Trump's tariffs?
0xa47b17e15c4960f361560554f20e73e9677ba496,3318.8307,156051.71214999995,269,2.13,False,False,False,2025-11-07T20:13:03+00:00,Supreme Court rules in favor of Trump's tariffs?
0x7bb244d0c70293e66dee84f3d0623fbbbf7d682c,24735.1609,64831.034044,50,38.15,False,False,False,2025-11-05T19:11:59+00:00,Supreme Court rules in favor of Trump's tariffs?
0x08c897e4780c299061fe683120e5bb18cf931da2,10102.3732,718489.5926460013,1851,1.41,False,False,False,2025-10-30T19:04:11+00:00,Supreme Court rules in favor of Trump's tariffs?
0xa3af1276fb9d3885f116abdb0ceda73733bb146f,2999.38,4223.6449920000005,10,71.01,True,False,True,2025-11-07T23:55:03+00:00,Supreme Court rules in favor of Trump's tariffs?
0x4e56f1ddaa8f5328036c449b89e731ec748cdee1,12995.0309,1470930.7969049965,2353,0.88,False,False,False,2025-11-05T14:55:11+00:00,Supreme Court rules in favor of Trump's tariffs?
0x6c07d5dcaa876555d315d928d964408f028b48d9,2724.9214,180512.8466159999,207,1.51,False,False,False,2025-11-09T17:38:05+00:00,Supreme Court rules in favor of Trump's tariffs?
0x8e3d9de7faa80dfe444448de64a97e657a5112e7,6596.915,72069.93792900011,59,9.15,False,False,False,2025-11-24T18:52:59+00:00,Supreme Court rules in favor of Trump's tariffs?
0xa8948e141de09e8ed204681e4beb4d2473075324,11278.61,301469.8336410001,43,3.74,False,False,False,2025-11-21T10:27:27+00:00,Supreme Court rules in favor of Trump's tariffs?
0x95bf944dd22691364154fb436ee922798566e00b,5007.0565,149863.87406999996,309,3.34,False,False,False,2025-11-05T22:40:03+00:00,Supreme Court rules in favor of Trump's tariffs?
0xb1d1fc4a5dacc36e102e936e15303a6ee1791e37,2906.0368,155458.37461400017,229,1.87,False,False,False,2025-12-02T17:38:34+00:00,Supreme Court rules in favor of Trump's tariffs?
0x2bd2574062fb6d8556ddb1050955f43dd9d4c21b,11841.0174,603502.2472379996,693,1.96,False,False,False,2025-11-12T07:14:25+00:00,Supreme Court rules in favor of Trump's tariffs?
0x2bd2574062fb6d8556ddb1050955f43dd9d4c21b,10617.8923,604722.8067879996,700,1.76,False,False,False,2025-11-21T03:46:49+00:00,Supreme Court rules in favor of Trump's tariffs?
0x546029093abad5c5615f72c903908baccfc8c7b5,3542.5196,7422.765166,18,47.73,False,False,False,2025-11-29T14:34:49+00:00,Supreme Court rules in favor of Trump's tariffs?
